"Question","Réponse","Expertise","Sous - expertise","Like","Created Date","Updated Date","Owner","Title","ID","Created Date","Updated Date","Owner"
"Quelles sont les assurances légalement obligatoires pour les particuliers en 2025 ?","En France, quatre assurances sont légalement obligatoires pour les particuliers : l'assurance maladie (affiliation au régime obligatoire de la Sécurité sociale), la responsabilité civile incluse dans la multirisque habitation, l'assurance automobile pour tout véhicule terrestre à moteur, et l'assurance habitation pour les locataires.

L'assurance maladie est universelle : tout résident doit cotiser auprès de l'organisme correspondant à son statut (CNAM pour les salariés, SSI pour les indépendants).

La responsabilité civile couvre les dommages causés à des tiers (articles 1240 à 1244 du Code civil) ; elle est généralement intégrée au contrat multirisque habitation.

L'assurance automobile est imposée par le Code des assurances (article L.211-1) même pour un véhicule non utilisé.

L'assurance habitation est obligatoire pour les locataires uniquement, qui doivent a minima couvrir les risques locatifs. Les propriétaires occupants n'y sont pas légalement contraints, sauf en copropriété.

Le non-respect de ces obligations expose à des amendes, voire à des peines d'emprisonnement pour le défaut d'assurance automobile.","[""Droit des assurances particuliers et professionnels""]","[""Législation""]",1,2025-03-10T08:40:35Z,2025-06-25T12:24:52Z,"d05c9ea4-b2fb-43e7-9de4-52fe8577e54b",,"00160ce5-5c05-4688-969c-456452290e60",2026-04-29T09:36:23Z,2026-04-29T09:36:23Z,"d05c9ea4-b2fb-43e7-9de4-52fe8577e54b"
"Comment contester un crédit affecté en cas de manquement du prêteur ?","Un crédit affecté peut être contesté sur deux fondements : les manquements à la formation du contrat et les défaillances liées à l'exécution du contrat principal financé. Les sanctions peuvent aller jusqu'à la nullité du crédit ou la déchéance du droit aux intérêts.

À la formation, vérifiez que la fiche d'information précontractuelle a été remise, que lʼoffre a été maintenue au moins 15 jours et que le délai de rétractation de 14 jours calendaires a été respecté. Lʼabsence de vérification de solvabilité (fichier FICP) peut également être invoquée.

À lʼexécution, les fonds ne peuvent être débloqués quʼaprès réalisation effective du contrat principal. Un déblocage anticipé ou une inexécution du vendeur entraîne la caducité du crédit. Des manœuvres dolosives du prêteur ouvrent droit à des dommages et intérêts.

Conséquences possibles : nullité du crédit, déchéance des intérêts (seul le capital reste dû), restitution des échéances versées.

Adressez une réclamation écrite au prêteur, puis saisissez le médiateur de la consommation. En lʼabsence de réponse satisfaisante, le tribunal judiciaire est compétent. Conservez offre, contrat, bons de commande et toute correspondance.","[""Droit du consommateur""]","[""Crédits & finances""]",1,2025-02-12T15:57:36Z,2026-04-28T14:21:31Z,"d05c9ea4-b2fb-43e7-9de4-52fe8577e54b",,"0089d332-3f69-4f80-aaf6-b02956301842",2026-04-29T09:36:23Z,2026-04-29T09:36:23Z,"d05c9ea4-b2fb-43e7-9de4-52fe8577e54b"
"Comment obtenir une indemnisation pour un traumatisme crânien ?","Pour obtenir une indemnisation après un traumatisme crânien, la victime doit documenter précisément son préjudice et engager une procédure amiable ou judiciaire contre le responsable ou son assureur. L'indemnisation est encadrée par la loi Badinter du 5 juillet 1985 lorsque l'accident implique un véhicule terrestre à moteur.

Les postes indemnisables incluent les frais médicaux passés et futurs, la perte de revenus, le déficit fonctionnel permanent (DFP), le préjudice moral, les souffrances endurées et les frais d'assistance par tierce personne — souvent considérables en cas de séquelles neurologiques graves.

Une expertise médicale contradictoire, réalisée idéalement avec un médecin-conseil indépendant aux côtés de la victime, est déterminante pour évaluer correctement l'étendue des séquelles. L'assureur dispose d'un délai de 8 mois à compter de l'accident pour présenter une offre d'indemnisation provisionnelle.

Face à la complexité de ces dossiers, un avocat spécialisé permet de contester une offre insuffisante et de saisir le tribunal judiciaire compétent.","[""Accidents de la route""]","[""Traumatisme crânien""]",1,2025-01-16T13:48:13Z,2025-06-25T12:24:52Z,"d05c9ea4-b2fb-43e7-9de4-52fe8577e54b",,"03822557-49b9-4d1c-83a2-93c96dadbd63",2026-04-29T09:36:23Z,2026-04-29T09:36:23Z,"d05c9ea4-b2fb-43e7-9de4-52fe8577e54b"
"Qu'est-ce que la période de Sûreté ?","La période de sûreté est une durée d'incarcération incompressible pendant laquelle le condamné ne peut bénéficier d'aucun aménagement de peine : ni placement à l'extérieur, ni semi-liberté, ni permissions de sortir, ni libération conditionnelle. Elle s'applique aux peines privatives de liberté sans sursis.

Elle peut être légale (automatique) : un texte spécifique la prévoit pour les infractions les plus graves (meurtres aggravés, empoisonnement, extorsions aggravées…). Le juge n'a pas à la prononcer, il peut seulement en modifier la durée.

Elle peut aussi être décidée (spéciale) : en dehors de tout texte spécifique, le juge peut l'ordonner dès lors que la condamnation est d'au moins 5 ans d'emprisonnement ferme (article 132-23 du Code pénal).

Au fil des réformes, des infractions d'une gravité moindre — comme l'administration de substances nuisibles — ont progressivement intégré le champ de la sûreté légale.","[""Droit Pénal"",""Procès criminel""]","[""Période de sûreté""]",1,2025-01-21T11:22:57Z,2025-06-25T12:24:52Z,"d05c9ea4-b2fb-43e7-9de4-52fe8577e54b",,"0399db80-a2f6-4c58-b2e1-55525af6a7e6",2026-04-29T09:36:23Z,2026-04-29T09:36:23Z,"d05c9ea4-b2fb-43e7-9de4-52fe8577e54b"
"Qu'est-ce qu'une ordonnance de protection et qui peut la demander ?","Lʼordonnance de protection est une mesure dʼurgence délivrée par le Juge aux affaires familiales (JAF) pour protéger les victimes de violences conjugales. Elle permet dʼimposer des restrictions à lʼauteur des violences — notamment lʼinterdiction dʼapprocher la victime — sans attendre lʼissue dʼune procédure pénale.

Peut la demander :
— toute personne victime de violences ou de menaces commises par son conjoint, concubin, partenaire de PACS, actuel ou ancien, même sans cohabitation ;
— toute personne majeure menacée de mariage forcé.

La demande est formée par requête auprès du JAF du tribunal judiciaire compétent. Le juge statue dans un délai de six jours à compter de la fixation de lʼaudience (article 515-11 du Code civil).","[""Violences conjugales et féminicides""]","[""Ordonnance de protection""]",1,2025-02-10T10:17:28Z,2025-06-25T12:24:52Z,"d05c9ea4-b2fb-43e7-9de4-52fe8577e54b",,"0605d4ad-c2e0-496d-99ff-1cbedec64a25",2026-04-29T09:36:23Z,2026-04-29T09:36:23Z,"d05c9ea4-b2fb-43e7-9de4-52fe8577e54b"
"Comment se déroule une procédure d'indemnisation avec l'ONIAM ?","La procédure d'indemnisation avec l'ONIAM peut être amiable ou contentieuse. En voie amiable, la victime saisit une CCI (Commission de Conciliation et d'Indemnisation) : l'ONIAM dispose alors de quatre mois suivant la réception de l'avis de la CCI pour formuler une offre d'indemnisation.

Si la victime accepte l'offre, le règlement intervient dans le délai d'un mois. L'ONIAM n'est pas lié par l'avis de la CCI et peut donc proposer une offre différente, voire ne pas en formuler.

En cas de refus de l'offre ou d'absence d'offre, la victime peut saisir le tribunal administratif (pour un accident survenu dans un établissement public) ou le tribunal judiciaire (établissement privé) pour engager une procédure contentieuse.","[""Accidents et erreurs médicales""]","[""ONIAM""]",1,2025-02-08T22:13:08Z,2025-06-25T12:24:52Z,"d05c9ea4-b2fb-43e7-9de4-52fe8577e54b",,"062175a7-c946-462b-9e48-c566e4776d0f",2026-04-29T09:36:23Z,2026-04-29T09:36:23Z,"d05c9ea4-b2fb-43e7-9de4-52fe8577e54b"
"L'établissement de santé est-il toujours responsable en cas d'infection nosocomiale ?","Les établissements de santé sont présumés responsables des infections nosocomiales sans qu'une faute soit nécessaire à prouver. Cette présomption est toutefois réfragable : l'établissement peut s'exonérer en démontrant une cause étrangère, c'est-à-dire un événement imprévisible, irrésistible et extérieur.

L'article L. 1142-1-1 du Code de la santé publique organise ensuite un partage selon la gravité du dommage :

— Si le déficit fonctionnel permanent (DFP) est inférieur ou égal à 25 %, l'assureur de l'établissement indemnise la victime.

— Si le DFP est supérieur à 25 %, l'ONIAM prend en charge l'indemnisation au titre de la solidarité nationale. L'ONIAM peut toutefois se retourner contre l'assureur de l'établissement lorsqu'une faute est à l'origine de l'infection.","[""Accidents et erreurs médicales""]","[""Infection nosocomiale""]",1,2025-02-08T23:10:51Z,2025-06-25T12:24:52Z,"d05c9ea4-b2fb-43e7-9de4-52fe8577e54b",,"07083789-9b9f-4d12-a69f-fc95d56f6321",2026-04-29T09:36:23Z,2026-04-29T09:36:23Z,"d05c9ea4-b2fb-43e7-9de4-52fe8577e54b"
"Quelles mesures de protection peuvent être mises en place en cas de violences conjugales ?","Face aux violences conjugales, plusieurs outils juridiques permettent une protection rapide. Lʼordonnance de protection (art. 515-9 du Code civil) peut être obtenue en quelques jours : elle peut interdire au conjoint violent dʼapprocher la victime ou le domicile. Depuis la loi du 18 juin 2024, une ordonnance provisoire de protection immédiate peut être délivrée par le juge aux affaires familiales dans les 24 heures.

Le non-respect de ces ordonnances constitue un délit puni de 3 ans dʼemprisonnement et 45 000 € dʼamende (art. 227-4-2 du Code pénal).

En parallèle, le dépôt de plainte déclenche une procédure pénale : les violences conjugales sont réprimées par les articles 222-1 et suivants du Code pénal, avec des circonstances aggravantes spécifiques au cadre conjugal. Le 3919 (numéro national gratuit) oriente les victimes vers les structures dʼaccueil adaptées.

Un avocat peut formuler la demande dʼordonnance de protection, accompagner la victime au dépôt de plainte et assurer le suivi de la procédure pénale.","[""Droit de la famille"",""Violences conjugales et féminicides""]","[""Protection et médiation""]",1,2025-02-10T10:42:43Z,2025-09-22T12:40:02Z,"d05c9ea4-b2fb-43e7-9de4-52fe8577e54b",,"080c9221-e935-4744-82db-ed0ebf90c7c1",2026-04-29T09:36:23Z,2026-04-29T09:36:23Z,"d05c9ea4-b2fb-43e7-9de4-52fe8577e54b"
" Qu'est-ce que le Téléphone Grave Danger (TGD) et comment fonctionne-t-il ?","Le Téléphone Grave Danger (TGD) est un téléphone portable fourni par les autorités judiciaires aux victimes de violences conjugales ou de viol en situation de très grand danger. En pressant un bouton dédié, la victime déclenche immédiatement une alerte et permet sa géolocalisation en temps réel, facilitant une intervention rapide des forces de l'ordre.

Le TGD est attribué sur décision du procureur de la République ou du juge aux affaires familiales. Il s'inscrit dans un ensemble de mesures de protection complémentaires, dont l'ordonnance de protection (article 515-9 du Code civil) et le bracelet anti-rapprochement (BAR), instauré par la loi du 28 décembre 2019.

Depuis 2014, le dispositif est déployé progressivement sur tout le territoire. Il bénéficie d'un appui institutionnel renforcé grâce aux pôles spécialisés violences intra-familiales présents dans les 164 tribunaux judiciaires de France.","[""Violences conjugales et féminicides""]","[""Téléphone Grave Danger""]",1,2025-02-10T10:13:55Z,2025-06-25T12:24:52Z,"d05c9ea4-b2fb-43e7-9de4-52fe8577e54b",,"088fed67-9282-4090-b931-c7a3a1317c42",2026-04-29T09:36:23Z,2026-04-29T09:36:23Z,"d05c9ea4-b2fb-43e7-9de4-52fe8577e54b"
"Qu'est-ce que le DFP (Déficit Fonctionnel Permanent) ?","Le Déficit Fonctionnel Permanent (DFP) désigne les séquelles physiques et/ou psychiques définitives conservées par une victime après la consolidation de son état de santé. Il est exprimé en pourcentage — de 1 % à 100 % — et reflète la réduction durable des capacités de la personne dans sa vie quotidienne.

Ce taux est fixé par un médecin expert, souvent lors d'une expertise judiciaire ou amiable. Il conditionne directement le montant de l'indemnisation versée par l'assureur ou l'ONIAM (Office National d'Indemnisation des Accidents Médicaux) en cas d'erreur médicale.

Le barème indicatif utilisé est le Barème médical indicatif publié par le Concours Médical. Un avocat peut contester le taux retenu si l'évaluation sous-estime les séquelles réelles.","[""Accidents et erreurs médicales"",""Accidents de la route"",""Accidents de la vie courante""]","[""DFP""]",6,2025-02-08T22:16:12Z,2025-07-31T13:54:41Z,"d05c9ea4-b2fb-43e7-9de4-52fe8577e54b",,"0962e40a-5e87-412e-8390-d2d16b217e9e",2026-04-29T09:36:23Z,2026-04-29T09:36:23Z,"d05c9ea4-b2fb-43e7-9de4-52fe8577e54b"
